location,fday,source,temp_max_diff,temp_min_diff,temp_mean_diff,rain_diff
Holešov,3.0,weathercom,0.7333333333333333,2.0916666666666663,,
Holešov,3.0,yrno,1.8076923076923077,2.0999999999999996,1.3423076923076922,1.4461538461538461
Holešov,4.0,weathercom,0.7909090909090909,2.1454545454545455,,
Holešov,4.0,yrno,2.1333333333333333,2.1166666666666667,1.3999999999999997,4.608333333333333
Holešov,5.0,weathercom,1.52,2.2300000000000004,,
Holešov,5.0,yrno,2.6727272727272724,1.6909090909090911,1.0477272727272728,2.409090909090909
Holešov,6.0,weathercom,2.0999999999999996,1.9666666666666666,,
Holešov,6.0,yrno,2.8300000000000005,1.8800000000000001,1.0725000000000002,2.6499999999999995
Holešov,7.0,weathercom,1.7375,1.65,,
Holešov,7.0,yrno,2.6111111111111107,1.488888888888889,1.044444444444445,1.3
Holešov,8.0,weathercom,1.5571428571428572,1.8571428571428572,,
Holešov,8.0,yrno,2.1625,1.8625,1.6874999999999998,0.875
Holešov,9.0,weathercom,2.5166666666666666,1.633333333333333,,
Holešov,9.0,yrno,2.9857142857142867,4.3,2.0642857142857145,3.2571428571428576
Jičín,0.0,weathercom,,1.4733333333333332,,
Jičín,1.0,weathercom,0.6357142857142855,1.4428571428571428,,
Jičín,1.0,yrno,1.5333333333333328,1.4733333333333332,0.9336309523809524,1.2428571428571424
Jičín,2.0,weathercom,0.7999999999999999,1.7153846153846155,,
Jičín,2.0,yrno,1.778571428571428,1.6714285714285715,0.9304487179487175,1.7999999999999998
Jičín,3.0,weathercom,1.0166666666666666,1.7749999999999997,,
Jičín,3.0,yrno,1.9307692307692308,1.353846153846154,0.8104166666666671,2.433333333333333
Jičín,4.0,weathercom,1.0454545454545452,1.8454545454545455,,
Jičín,4.0,yrno,1.9083333333333334,1.7750000000000001,1.2363636363636366,3.190909090909091
Jičín,5.0,weathercom,1.4299999999999997,1.9799999999999998,,
Jičín,5.0,yrno,2.4454545454545453,1.6363636363636365,1.3575,1.61
Jičín,6.0,weathercom,1.444444444444444,2.133333333333333,,
Jičín,6.0,yrno,2.6999999999999997,1.8,1.2388888888888892,1.5777777777777775
Jičín,7.0,weathercom,1.5999999999999996,1.8000000000000003,,
Jičín,7.0,yrno,2.4000000000000004,1.7666666666666664,1.6874999999999998,3.1374999999999997
Jičín,8.0,weathercom,1.0857142857142854,2.2142857142857144,,
Jičín,8.0,yrno,2.25,2.4875000000000003,2.025000000000001,3.6714285714285713
Jičín,9.0,weathercom,1.4499999999999995,1.7833333333333332,,
Jičín,9.0,yrno,2.5857142857142854,1.385714285714286,2.4333333333333336,6.266666666666667
Karlovy Vary,0.0,weathercom,,2.9600000000000004,,
