"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Ústí nad Labem","10,5 °C","4,8 °C","68%","7,3 °C","11,2 °C","4,8 °C","3,4 °C","18/10/2021 19:00:00"
"Holešov","7,4 °C","4,8 °C","84%","6,2 °C","12,5 °C","-0,8 °C","-0,1 °C","18/10/2021 19:00:00"
"Šerák","2,4 °C","2,4 °C","100%","-0,6 °C","1,5 °C","-1,4 °C","-1,8 °C","18/10/2021 19:00:00"
"Jičín","8,6 °C","6,4 °C","86%","6,7 °C","9,7 °C","5,2 °C","5,8 °C","18/10/2021 19:00:00"
"Košetice","7,8 °C","3,7 °C","76%","4,8 °C","11,3 °C","0,0 °C","-1,4 °C","18/10/2021 19:00:00"
"Kocelovice","7,8 °C","4,2 °C","78%","6,1 °C","10,4 °C","-1,2 °C","-0,7 °C","18/10/2021 19:00:00"
"Praha-Karlov","11,1 °C","4,8 °C","65%"," "," "," "," ","18/10/2021 19:00:00"
"Milešovka","10,5 °C","6,1 °C","74%","8,1 °C","12,6 °C","5,0 °C","4,0 °C","19/10/2021 12:00:00"
"Polom","9,2 °C","3,8 °C","69%","6,5 °C","9,4 °C","4,0 °C","2,1 °C","19/10/2021 12:00:00"
"Praha-Kbely","14,4 °C","6,0 °C","57%","9,9 °C","16,0 °C","5,1 °C","0,1 °C","19/10/2021 12:00:00"
"Holešov","13,7 °C","5,7 °C","58%","7,3 °C","13,0 °C","2,5 °C","-0,5 °C","19/10/2021 12:00:00"
"Kostelní Myslová","13,1 °C","5,4 °C","58%","6,8 °C","13,4 °C","2,7 °C","-1,0 °C","19/10/2021 12:00:00"
"Pec pod Sněžkou","11,0 °C","2,4 °C","55%","5,4 °C","9,7 °C","2,2 °C","0,5 °C","19/10/2021 12:00:00"
"Kuchařovice","10,9 °C","5,4 °C","69%","9,8 °C","13,8 °C","2,2 °C","0,9 °C","19/10/2021 12:00:00"
"Praha-Libuš","14,7 °C","5,6 °C","54%","10,1 °C","16,6 °C","5,7 °C","1,2 °C","19/10/2021 12:00:00"
"Kopisty"," "," "," ","8,6 °C","16,9 °C","3,5 °C","-1,5 °C","19/10/2021 12:00:00"
"Červená u Libavé","8,6 °C","4,3 °C","74%","6,4 °C","8,4 °C","4,1 °C","2,9 °C","19/10/2021 12:00:00"
"Luká","10,2 °C","6,2 °C","76%","8,5 °C","12,1 °C","3,5 °C","0,2 °C","19/10/2021 12:00:00"
"Náměšť nad Oslavou","11,3 °C","5,8 °C","69%","8,3 °C","12,7 °C","4,0 °C","-0,2 °C","19/10/2021 12:00:00"
"Cheb","9,9 °C","6,4 °C","79%","7,1 °C","14,1 °C","2,2 °C","-0,8 °C","19/10/2021 12:00:00"
"Prostějov","13,2 °C","6,1 °C","62%","6,9 °C","14,0 °C","0,2 °C","-2,7 °C","19/10/2021 12:00:00"
"Kocelovice","12,2 °C","6,9 °C","69%","6,9 °C","14,3 °C","2,0 °C","0,2 °C","19/10/2021 12:00:00"
"Čáslav","15,3 °C","5,2 °C","51%","9,0 °C","15,1 °C","5,3 °C","-0,9 °C","19/10/2021 12:00:00"
"Jičín","11,7 °C","5,3 °C","65%","8,2 °C","14,1 °C","4,1 °C","2,1 °C","19/10/2021 12:00:00"
"Pardubice","13,9 °C","6,2 °C","60%","8,8 °C","15,1 °C","3,2 °C","-0,1 °C","19/10/2021 12:00:00"
"České Budějovice","16,8 °C","7,7 °C","55%","8,4 °C","15,4 °C","2,9 °C","0,1 °C","19/10/2021 12:00:00"
"Temelín","14,8 °C","6,6 °C","58%","8,5 °C","13,9 °C","3,8 °C","-0,2 °C","19/10/2021 12:00:00"
"Brno-Tuřany","11,8 °C","6,1 °C","68%","8,0 °C","14,1 °C","3,4 °C","-0,6 °C","19/10/2021 12:00:00"
"Praha-Karlov","14,2 °C","5,6 °C","56%"," "," "," "," ","19/10/2021 12:00:00"
"Šerák","6,1 °C","1,6 °C","73%","2,1 °C","3,1 °C","0,9 °C","1,3 °C","19/10/2021 12:00:00"
"Praha-Ruzyně","15,1 °C","6,1 °C","55%","9,8 °C","15,4 °C","4,8 °C","2,9 °C","19/10/2021 12:00:00"
"Ústí nad Orlicí","11,2 °C","6,9 °C","75%","6,1 °C","12,5 °C","1,6 °C","-1,0 °C","19/10/2021 12:00:00"
"Ústí nad Labem","10,7 °C","5,1 °C","69%","9,9 °C","15,1 °C","5,1 °C","2,0 °C","19/10/2021 12:00:00"
"Přimda","10,0 °C","6,9 °C","81%","7,7 °C","13,3 °C","4,5 °C","2,0 °C","19/10/2021 12:00:00"
"Přibyslav","12,2 °C","5,4 °C","63%","6,2 °C","12,8 °C","2,0 °C","0,8 °C","19/10/2021 12:00:00"
"Dukovany","10,8 °C","5,3 °C","69%","9,4 °C","13,5 °C","3,4 °C","0,4 °C","19/10/2021 12:00:00"
"Doksany","12,3 °C","5,7 °C","64%","9,0 °C","15,9 °C","2,6 °C","-1,4 °C","19/10/2021 12:00:00"
"Košetice","15,9 °C","6,1 °C","52%","7,0 °C","13,8 °C","3,0 °C","-1,0 °C","19/10/2021 12:00:00"
"Maruška","11,3 °C","4,8 °C","64%","6,9 °C","8,5 °C","4,6 °C","4,5 °C","19/10/2021 12:00:00"
"Liberec","11,9 °C","5,0 °C","62%","8,8 °C","13,6 °C","6,4 °C","3,7 °C","19/10/2021 12:00:00"
"Churáňov","13,4 °C","-1,0 °C","37%","4,7 °C","9,8 °C","1,8 °C","-0,3 °C","19/10/2021 12:00:00"
"Karlovy Vary","10,4 °C","6,0 °C","74%","5,3 °C","12,7 °C","-0,4 °C","-1,4 °C","19/10/2021 12:00:00"
"Lysá hora","6,4 °C","1,8 °C","72%","1,9 °C","5,3 °C","-0,6 °C","0,2 °C","19/10/2021 12:00:00"
"Plzeň-Mikulka","13,3 °C","7,0 °C","66%","8,6 °C","16,4 °C","2,2 °C","-0,8 °C","19/10/2021 12:00:00"
"Tušimice","12,6 °C","5,9 °C","64%","8,7 °C","16,8 °C","3,2 °C","-0,2 °C","19/10/2021 12:00:00"
"Ostrava-Mošnov","15,1 °C","6,7 °C","57%","8,6 °C","10,7 °C","4,7 °C","1,4 °C","19/10/2021 12:00:00"
"Svratouch","13,4 °C","5,2 °C","58%","7,2 °C","11,7 °C","3,6 °C","1,9 °C","19/10/2021 12:00:00"
"Praha-Kbely","14,8 °C","7,4 °C","61%","9,9 °C","16,0 °C","5,1 °C","0,1 °C","19/10/2021 19:00:00"
"Kocelovice","12,9 °C","9,6 °C","80%","6,9 °C","14,3 °C","2,0 °C","0,2 °C","19/10/2021 19:00:00"
"České Budějovice","14,0 °C","6,1 °C","59%","8,4 °C","15,4 °C","2,9 °C","0,1 °C","19/10/2021 19:00:00"
"Maruška","8,4 °C","4,8 °C","78%","6,9 °C","8,5 °C","4,6 °C","4,5 °C","19/10/2021 19:00:00"
"Plzeň-Mikulka","12,5 °C","8,9 °C","79%","8,6 °C","16,4 °C","2,2 °C","-0,8 °C","19/10/2021 19:00:00"
"Pec pod Sněžkou","9,4 °C","5,2 °C","75%","5,4 °C","9,7 °C","2,2 °C","0,5 °C","19/10/2021 19:00:00"
"Kuchařovice","9,9 °C","7,0 °C","82%","9,8 °C","13,8 °C","2,2 °C","0,9 °C","19/10/2021 19:00:00"
"Ústí nad Orlicí","9,6 °C","5,9 °C","78%","6,1 °C","12,5 °C","1,6 °C","-1,0 °C","19/10/2021 19:00:00"
"Cheb","11,0 °C","9,8 °C","92%","7,1 °C","14,1 °C","2,2 °C","-0,8 °C","19/10/2021 19:00:00"
"Přibyslav","8,9 °C","6,2 °C","83%","6,2 °C","12,8 °C","2,0 °C","0,8 °C","19/10/2021 19:00:00"
"Čáslav","13,5 °C","7,3 °C","66%","9,0 °C","15,1 °C","5,3 °C","-0,9 °C","19/10/2021 19:00:00"
"Jičín","11,3 °C","8,0 °C","80%","8,2 °C","14,1 °C","4,1 °C","2,1 °C","19/10/2021 19:00:00"
"Liberec","12,5 °C","6,7 °C","68%","8,8 °C","13,6 °C","6,4 °C","3,7 °C","19/10/2021 19:00:00"
"Přimda","9,4 °C","9,1 °C","98%","7,7 °C","13,3 °C","4,5 °C","2,0 °C","19/10/2021 19:00:00"
"Churáňov","8,5 °C","7,4 °C","93%","4,7 °C","9,8 °C","1,8 °C","-0,3 °C","19/10/2021 19:00:00"
"Ostrava-Mošnov","11,1 °C","5,8 °C","70%","8,6 °C","10,7 °C","4,7 °C","1,4 °C","19/10/2021 19:00:00"
"Náměšť nad Oslavou","8,9 °C","6,9 °C","87%","8,3 °C","12,7 °C","4,0 °C","-0,2 °C","19/10/2021 19:00:00"
"Holešov","8,2 °C","5,1 °C","81%","7,3 °C","13,0 °C","2,5 °C","-0,5 °C","19/10/2021 19:00:00"
"Doksany","13,0 °C","7,9 °C","71%","9,0 °C","15,9 °C","2,6 °C","-1,4 °C","19/10/2021 19:00:00"
"Lysá hora","4,5 °C","1,6 °C","81%","1,9 °C","5,3 °C","-0,6 °C","0,2 °C","19/10/2021 19:00:00"
"Karlovy Vary","10,8 °C","8,7 °C","87%","5,3 °C","12,7 °C","-0,4 °C","-1,4 °C","19/10/2021 19:00:00"
"Svratouch","7,9 °C","4,9 °C","81%","7,2 °C","11,7 °C","3,6 °C","1,9 °C","19/10/2021 19:00:00"
"Košetice","13,0 °C","6,9 °C","67%","7,0 °C","13,8 °C","3,0 °C","-1,0 °C","19/10/2021 19:00:00"
"Praha-Ruzyně","13,5 °C","7,7 °C","68%","9,8 °C","15,4 °C","4,8 °C","2,9 °C","19/10/2021 19:00:00"
"Dukovany","11,1 °C","6,8 °C","75%","9,4 °C","13,5 °C","3,4 °C","0,4 °C","19/10/2021 19:00:00"
"Milešovka","9,5 °C","8,7 °C","95%","8,1 °C","12,6 °C","5,0 °C","4,0 °C","19/10/2021 19:00:00"
"Tušimice","13,4 °C","9,5 °C","77%","8,7 °C","16,8 °C","3,2 °C","-0,2 °C","19/10/2021 19:00:00"
"Kostelní Myslová","10,4 °C","6,2 °C","75%","6,8 °C","13,4 °C","2,7 °C","-1,0 °C","19/10/2021 19:00:00"
"Červená u Libavé","7,1 °C","5,4 °C","89%","6,4 °C","8,4 °C","4,1 °C","2,9 °C","19/10/2021 19:00:00"
"Temelín","13,5 °C","6,4 °C","62%","8,5 °C","13,9 °C","3,8 °C","-0,2 °C","19/10/2021 19:00:00"
"Ústí nad Labem","12,0 °C","7,4 °C","74%","9,9 °C","15,1 °C","5,1 °C","2,0 °C","19/10/2021 19:00:00"
"Brno-Tuřany","10,5 °C","7,0 °C","79%","8,0 °C","14,1 °C","3,4 °C","-0,6 °C","19/10/2021 19:00:00"
"Prostějov","7,8 °C","5,1 °C","83%","6,9 °C","14,0 °C","0,2 °C","-2,7 °C","19/10/2021 19:00:00"
"Praha-Libuš","14,5 °C","6,8 °C","60%","10,1 °C","16,6 °C","5,7 °C","1,2 °C","19/10/2021 19:00:00"
"Kopisty","13,7 °C","10,3 °C","80%","8,6 °C","16,9 °C","3,5 °C","-1,5 °C","19/10/2021 19:00:00"
"Polom","9,1 °C","5,3 °C","77%","6,5 °C","9,4 °C","4,0 °C","2,1 °C","19/10/2021 19:00:00"
"Praha-Karlov","14,7 °C","7,3 °C","61%"," "," "," "," ","19/10/2021 19:00:00"
"Luká","7,8 °C","5,6 °C","86%","8,5 °C","12,1 °C","3,5 °C","0,2 °C","19/10/2021 19:00:00"
"Pardubice","13,8 °C","7,4 °C","66%","8,8 °C","15,1 °C","3,2 °C","-0,1 °C","19/10/2021 19:00:00"
"Šerák","5,3 °C","2,4 °C","81%","2,1 °C","3,1 °C","0,9 °C","1,3 °C","19/10/2021 19:00:00"
"Přibyslav","17,9 °C","10,0 °C","60%","9,4 °C","14,9 °C","4,9 °C","7,1 °C","20/10/2021 12:00:00"
"Pardubice","23,4 °C","8,5 °C","39%","12,2 °C","16,0 °C","5,0 °C","8,1 °C","20/10/2021 12:00:00"
"Maruška","13,5 °C","7,1 °C","65%","8,6 °C","11,8 °C","5,8 °C","8,0 °C","20/10/2021 12:00:00"
"Pec pod Sněžkou","15,7 °C","5,3 °C","50%","9,1 °C","12,8 °C","5,1 °C","7,5 °C","20/10/2021 12:00:00"
"Kostelní Myslová","19,0 °C","8,9 °C","52%","9,4 °C","15,5 °C","2,8 °C","5,8 °C","20/10/2021 12:00:00"
"Karlovy Vary","16,6 °C","6,5 °C","51%","9,1 °C","12,0 °C","1,4 °C","1,0 °C","20/10/2021 12:00:00"
"Jičín","21,5 °C","10,9 °C","51%","10,3 °C","13,3 °C","5,6 °C","5,9 °C","20/10/2021 12:00:00"
"Doksany","21,6 °C","6,0 °C","36%","11,6 °C","15,9 °C","3,7 °C","1,8 °C","20/10/2021 12:00:00"
"Ústí nad Labem","16,9 °C","8,3 °C","57%","10,6 °C","13,4 °C","5,7 °C","5,8 °C","20/10/2021 12:00:00"
"Kopisty"," "," "," ","11,7 °C","15,7 °C","3,9 °C","0,8 °C","20/10/2021 12:00:00"
"Kuchařovice","16,8 °C","9,2 °C","61%","9,1 °C","13,5 °C","4,0 °C","7,1 °C","20/10/2021 12:00:00"
"Luká","16,1 °C","8,1 °C","59%","7,8 °C","12,1 °C","3,5 °C","6,1 °C","20/10/2021 12:00:00"
"Svratouch","17,2 °C","9,1 °C","59%","8,6 °C","14,7 °C","5,5 °C","6,4 °C","20/10/2021 12:00:00"
"Dukovany","16,0 °C","8,0 °C","59%","9,0 °C","13,0 °C","4,5 °C","6,7 °C","20/10/2021 12:00:00"
"Ústí nad Orlicí","17,9 °C","9,5 °C","58%","9,2 °C","13,5 °C","2,8 °C","7,3 °C","20/10/2021 12:00:00"
"Šerák","10,1 °C","6,2 °C","77%","5,0 °C","6,5 °C","2,4 °C","4,8 °C","20/10/2021 12:00:00"
"Cheb","17,6 °C","9,0 °C","57%","10,0 °C","12,0 °C","5,4 °C","2,7 °C","20/10/2021 12:00:00"
"Košetice","21,5 °C","7,0 °C","39%","11,7 °C","17,3 °C","4,3 °C","6,1 °C","20/10/2021 12:00:00"
"Lysá hora","7,3 °C","3,9 °C","79%","4,8 °C","7,8 °C","2,4 °C","3,2 °C","20/10/2021 12:00:00"
"Temelín","21,4 °C","8,7 °C","44%","11,4 °C","16,9 °C","4,0 °C","7,3 °C","20/10/2021 12:00:00"
"České Budějovice","24,2 °C","7,8 °C","35%","12,6 °C","19,2 °C","3,3 °C","7,7 °C","20/10/2021 12:00:00"
"Praha-Karlov","21,2 °C","6,8 °C","39%"," "," "," "," ","20/10/2021 12:00:00"
"Čáslav","21,8 °C","9,9 °C","47%","12,7 °C","17,2 °C","6,9 °C","6,0 °C","20/10/2021 12:00:00"
"Ostrava-Mošnov","17,9 °C","7,3 °C","50%","10,9 °C","15,5 °C","6,2 °C","7,6 °C","20/10/2021 12:00:00"
"Liberec","17,2 °C","7,9 °C","54%","11,3 °C","13,0 °C","7,0 °C","9,1 °C","20/10/2021 12:00:00"
"Churáňov","18,6 °C","2,0 °C","33%","8,8 °C","13,7 °C","4,9 °C","6,8 °C","20/10/2021 12:00:00"
"Přimda","14,8 °C","7,5 °C","62%","8,6 °C","11,1 °C","5,3 °C","5,2 °C","20/10/2021 12:00:00"
"Milešovka","17,2 °C","8,6 °C","57%","8,8 °C","11,2 °C","5,0 °C","7,3 °C","20/10/2021 12:00:00"
"Polom","15,2 °C","8,2 °C","63%","8,4 °C","11,0 °C","5,4 °C","8,4 °C","20/10/2021 12:00:00"
"Praha-Ruzyně","21,0 °C","5,8 °C","37%","12,2 °C","16,2 °C","5,8 °C","8,6 °C","20/10/2021 12:00:00"
"Plzeň-Mikulka","20,8 °C","5,9 °C","38%","11,1 °C","15,4 °C","4,1 °C","1,3 °C","20/10/2021 12:00:00"
"Tušimice","20,0 °C","6,7 °C","42%","11,0 °C","15,4 °C","3,1 °C","4,1 °C","20/10/2021 12:00:00"
"Náměšť nad Oslavou","15,4 °C","8,5 °C","63%","8,3 °C","12,1 °C","4,3 °C","4,7 °C","20/10/2021 12:00:00"
"Prostějov","17,9 °C","7,9 °C","52%","8,6 °C","14,6 °C","2,3 °C","4,8 °C","20/10/2021 12:00:00"
"Kocelovice","19,6 °C","9,2 °C","50%","10,4 °C","15,1 °C","2,2 °C","3,4 °C","20/10/2021 12:00:00"
"Červená u Libavé","13,9 °C","6,2 °C","60%","7,4 °C","10,2 °C","4,4 °C","6,5 °C","20/10/2021 12:00:00"
"Praha-Libuš","22,1 °C","7,4 °C","39%","13,0 °C","17,9 °C","5,9 °C","7,0 °C","20/10/2021 12:00:00"
"Brno-Tuřany","17,3 °C","9,2 °C","59%","9,4 °C","13,2 °C","4,4 °C","6,5 °C","20/10/2021 12:00:00"
"Praha-Kbely","20,9 °C","7,6 °C","42%","12,8 °C","16,6 °C","6,0 °C","6,0 °C","20/10/2021 12:00:00"
"Holešov","17,9 °C","7,3 °C","50%","9,0 °C","14,6 °C","4,1 °C","7,8 °C","20/10/2021 12:00:00"
"Holešov","14,2 °C","5,6 °C","56%","9,0 °C","14,6 °C","4,1 °C","7,8 °C","20/10/2021 19:00:00"
"Svratouch","11,6 °C","6,7 °C","72%","8,6 °C","14,7 °C","5,5 °C","6,4 °C","20/10/2021 19:00:00"
"Kostelní Myslová","12,0 °C","7,7 °C","75%","9,4 °C","15,5 °C","2,8 °C","5,8 °C","20/10/2021 19:00:00"
"Čáslav","15,9 °C","8,5 °C","62%","12,7 °C","17,2 °C","6,9 °C","6,0 °C","20/10/2021 19:00:00"
"Pec pod Sněžkou","12,3 °C","8,5 °C","78%","9,1 °C","12,8 °C","5,1 °C","7,5 °C","20/10/2021 19:00:00"
"Kopisty","17,5 °C","8,9 °C","57%","11,7 °C","15,7 °C","3,9 °C","0,8 °C","20/10/2021 19:00:00"
"Šerák","5,8 °C","4,0 °C","88%","5,0 °C","6,5 °C","2,4 °C","4,8 °C","20/10/2021 19:00:00"
"Kuchařovice","13,0 °C","8,1 °C","72%","9,1 °C","13,5 °C","4,0 °C","7,1 °C","20/10/2021 19:00:00"
"Milešovka","13,8 °C","9,0 °C","73%","8,8 °C","11,2 °C","5,0 °C","7,3 °C","20/10/2021 19:00:00"
"Luká","12,9 °C","6,3 °C","64%","7,8 °C","12,1 °C","3,5 °C","6,1 °C","20/10/2021 19:00:00"
"Lysá hora","6,9 °C","2,7 °C","75%","4,8 °C","7,8 °C","2,4 °C","3,2 °C","20/10/2021 19:00:00"
"Košetice","13,5 °C","8,8 °C","73%","11,7 °C","17,3 °C","4,3 °C","6,1 °C","20/10/2021 19:00:00"
"Doksany","18,4 °C","7,2 °C","48%","11,6 °C","15,9 °C","3,7 °C","1,8 °C","20/10/2021 19:00:00"
"Plzeň-Mikulka","16,4 °C","8,0 °C","58%","11,1 °C","15,4 °C","4,1 °C","1,3 °C","20/10/2021 19:00:00"
"Přimda","12,6 °C","8,7 °C","77%","8,6 °C","11,1 °C","5,3 °C","5,2 °C","20/10/2021 19:00:00"
"Churáňov","10,2 °C","6,0 °C","75%","8,8 °C","13,7 °C","4,9 °C","6,8 °C","20/10/2021 19:00:00"
"Polom","11,1 °C","6,8 °C","75%","8,4 °C","11,0 °C","5,4 °C","8,4 °C","20/10/2021 19:00:00"
"Pardubice","16,5 °C","8,2 °C","58%","12,2 °C","16,0 °C","5,0 °C","8,1 °C","20/10/2021 19:00:00"
"Temelín","16,9 °C","4,9 °C","45%","11,4 °C","16,9 °C","4,0 °C","7,3 °C","20/10/2021 19:00:00"
"Ostrava-Mošnov","15,2 °C","5,4 °C","52%","10,9 °C","15,5 °C","6,2 °C","7,6 °C","20/10/2021 19:00:00"
"Náměšť nad Oslavou","12,3 °C","7,4 °C","72%","8,3 °C","12,1 °C","4,3 °C","4,7 °C","20/10/2021 19:00:00"
"Červená u Libavé","10,6 °C","5,2 °C","69%","7,4 °C","10,2 °C","4,4 °C","6,5 °C","20/10/2021 19:00:00"
"Jičín","16,0 °C","10,5 °C","70%","10,3 °C","13,3 °C","5,6 °C","5,9 °C","20/10/2021 19:00:00"
"Cheb","14,7 °C","9,5 °C","71%","10,0 °C","12,0 °C","5,4 °C","2,7 °C","20/10/2021 19:00:00"
"Prostějov","11,6 °C","6,1 °C","69%","8,6 °C","14,6 °C","2,3 °C","4,8 °C","20/10/2021 19:00:00"
"Karlovy Vary","14,1 °C","8,1 °C","67%","9,1 °C","12,0 °C","1,4 °C","1,0 °C","20/10/2021 19:00:00"
"Praha-Karlov","18,4 °C","6,3 °C","45%"," "," "," "," ","20/10/2021 19:00:00"
"Praha-Ruzyně","17,4 °C","7,6 °C","52%","12,2 °C","16,2 °C","5,8 °C","8,6 °C","20/10/2021 19:00:00"
"Dukovany","14,2 °C","7,5 °C","64%","9,0 °C","13,0 °C","4,5 °C","6,7 °C","20/10/2021 19:00:00"
"Tušimice","16,6 °C","8,6 °C","59%","11,0 °C","15,4 °C","3,1 °C","4,1 °C","20/10/2021 19:00:00"
"Ústí nad Orlicí","14,5 °C","7,5 °C","63%","9,2 °C","13,5 °C","2,8 °C","7,3 °C","20/10/2021 19:00:00"
"Přibyslav","12,8 °C","7,9 °C","72%","9,4 °C","14,9 °C","4,9 °C","7,1 °C","20/10/2021 19:00:00"
"Maruška","11,5 °C","4,9 °C","64%","8,6 °C","11,8 °C","5,8 °C","8,0 °C","20/10/2021 19:00:00"
"Liberec","17,7 °C","6,0 °C","46%","11,3 °C","13,0 °C","7,0 °C","9,1 °C","20/10/2021 19:00:00"
"Praha-Kbely","18,5 °C","6,4 °C","45%","12,8 °C","16,6 °C","6,0 °C","6,0 °C","20/10/2021 19:00:00"
"České Budějovice","16,7 °C","5,9 °C","49%","12,6 °C","19,2 °C","3,3 °C","7,7 °C","20/10/2021 19:00:00"
"Brno-Tuřany","14,2 °C","7,0 °C","62%","9,4 °C","13,2 °C","4,4 °C","6,5 °C","20/10/2021 19:00:00"
"Ústí nad Labem","17,2 °C","8,1 °C","55%","10,6 °C","13,4 °C","5,7 °C","5,8 °C","20/10/2021 19:00:00"
"Kocelovice","15,7 °C","5,9 °C","52%","10,4 °C","15,1 °C","2,2 °C","3,4 °C","20/10/2021 19:00:00"
"Praha-Libuš","18,4 °C","6,0 °C","44%","13,0 °C","17,9 °C","5,9 °C","7,0 °C","20/10/2021 19:00:00"
"Maruška","8,8 °C","6,4 °C","85%","8,6 °C","11,8 °C","5,8 °C","8,0 °C","21/10/2021 05:00:00"
"Náměšť nad Oslavou","7,2 °C","6,4 °C","95%","8,3 °C","12,1 °C","4,3 °C","4,7 °C","21/10/2021 05:00:00"
"Jičín","13,2 °C","9,0 °C","76%","10,3 °C","13,3 °C","5,6 °C","5,9 °C","21/10/2021 05:00:00"
"Dukovany","7,9 °C","6,2 °C","89%","9,0 °C","13,0 °C","4,5 °C","6,7 °C","21/10/2021 05:00:00"
"Kopisty"," "," "," ","11,7 °C","15,7 °C","3,9 °C","0,8 °C","21/10/2021 05:00:00"
"Cheb","11,6 °C","10,7 °C","94%","10,0 °C","12,0 °C","5,4 °C","2,7 °C","21/10/2021 05:00:00"
"Karlovy Vary","11,1 °C","9,9 °C","92%","9,1 °C","12,0 °C","1,4 °C","1,0 °C","21/10/2021 05:00:00"
"České Budějovice","13,0 °C","8,3 °C","73%","12,6 °C","19,2 °C","3,3 °C","7,7 °C","21/10/2021 05:00:00"
"Liberec","11,7 °C","10,1 °C","90%","11,3 °C","13,0 °C","7,0 °C","9,1 °C","21/10/2021 05:00:00"
"Brno-Tuřany","8,8 °C","6,8 °C","87%","9,4 °C","13,2 °C","4,4 °C","6,5 °C","21/10/2021 05:00:00"
"Praha-Ruzyně","13,0 °C","11,1 °C","88%","12,2 °C","16,2 °C","5,8 °C","8,6 °C","21/10/2021 05:00:00"
"Kocelovice","10,0 °C","8,1 °C","87%","10,4 °C","15,1 °C","2,2 °C","3,4 °C","21/10/2021 05:00:00"
"Ústí nad Orlicí","10,3 °C","6,9 °C","79%","9,2 °C","13,5 °C","2,8 °C","7,3 °C","21/10/2021 05:00:00"
"Tušimice","12,8 °C","12,1 °C","95%","11,0 °C","15,4 °C","3,1 °C","4,1 °C","21/10/2021 05:00:00"
"Pec pod Sněžkou","8,5 °C","7,1 °C","91%","9,1 °C","12,8 °C","5,1 °C","7,5 °C","21/10/2021 05:00:00"
"Praha-Kbely","13,2 °C","9,5 °C","79%","12,8 °C","16,6 °C","6,0 °C","6,0 °C","21/10/2021 05:00:00"
"Ostrava-Mošnov","12,7 °C","7,3 °C","70%","10,9 °C","15,5 °C","6,2 °C","7,6 °C","21/10/2021 05:00:00"
"Plzeň-Mikulka","12,3 °C","11,4 °C","94%","11,1 °C","15,4 °C","4,1 °C","1,3 °C","21/10/2021 05:00:00"
"Svratouch","9,3 °C","7,4 °C","88%","8,6 °C","14,7 °C","5,5 °C","6,4 °C","21/10/2021 05:00:00"
"Praha-Libuš","12,8 °C","8,7 °C","76%","13,0 °C","17,9 °C","5,9 °C","7,0 °C","21/10/2021 05:00:00"
"Prostějov","8,8 °C","6,2 °C","84%","8,6 °C","14,6 °C","2,3 °C","4,8 °C","21/10/2021 05:00:00"
"Luká","8,1 °C","6,4 °C","89%","7,8 °C","12,1 °C","3,5 °C","6,1 °C","21/10/2021 05:00:00"
"Ústí nad Labem","12,2 °C","11,2 °C","94%","10,6 °C","13,4 °C","5,7 °C","5,8 °C","21/10/2021 05:00:00"
"Praha-Karlov","12,7 °C","8,7 °C","77%"," "," "," "," ","21/10/2021 05:00:00"
"Pardubice","12,0 °C","8,1 °C","78%","12,2 °C","16,0 °C","5,0 °C","8,1 °C","21/10/2021 05:00:00"
"Přimda","10,0 °C","9,7 °C","98%","8,6 °C","11,1 °C","5,3 °C","5,2 °C","21/10/2021 05:00:00"
"Milešovka","10,2 °C","10,2 °C","100%","8,8 °C","11,2 °C","5,0 °C","7,3 °C","21/10/2021 05:00:00"
"Košetice","13,3 °C","8,3 °C","72%","11,7 °C","17,3 °C","4,3 °C","6,1 °C","21/10/2021 05:00:00"
"Čáslav","11,7 °C","7,6 °C","76%","12,7 °C","17,2 °C","6,9 °C","6,0 °C","21/10/2021 05:00:00"
"Kuchařovice","7,9 °C","6,8 °C","93%","9,1 °C","13,5 °C","4,0 °C","7,1 °C","21/10/2021 05:00:00"
"Kostelní Myslová","7,1 °C","6,3 °C","95%","9,4 °C","15,5 °C","2,8 °C","5,8 °C","21/10/2021 05:00:00"
"Přibyslav","8,2 °C","7,0 °C","92%","9,4 °C","14,9 °C","4,9 °C","7,1 °C","21/10/2021 05:00:00"
"Červená u Libavé","8,6 °C","6,2 °C","85%","7,4 °C","10,2 °C","4,4 °C","6,5 °C","21/10/2021 05:00:00"
"Šerák","5,6 °C","5,3 °C","98%","5,0 °C","6,5 °C","2,4 °C","4,8 °C","21/10/2021 05:00:00"
"Holešov","10,3 °C","6,4 °C","77%","9,0 °C","14,6 °C","4,1 °C","7,8 °C","21/10/2021 05:00:00"
"Polom","9,7 °C","6,8 °C","82%","8,4 °C","11,0 °C","5,4 °C","8,4 °C","21/10/2021 05:00:00"
"Doksany","13,5 °C","11,4 °C","87%","11,6 °C","15,9 °C","3,7 °C","1,8 °C","21/10/2021 05:00:00"
"Churáňov","10,7 °C","7,0 °C","78%","8,8 °C","13,7 °C","4,9 °C","6,8 °C","21/10/2021 05:00:00"
"Temelín","10,9 °C","8,7 °C","87%","11,4 °C","16,9 °C","4,0 °C","7,3 °C","21/10/2021 05:00:00"
"Lysá hora","4,2 °C","3,9 °C","98%","4,8 °C","7,8 °C","2,4 °C","3,2 °C","21/10/2021 05:00:00"
