"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Kostelní Myslová","10,5 °C","0,2 °C","49%","6,1 °C","12,1 °C","-0,4 °C","-4,1 °C","10/10/2021 14:00:00"
"Plzeň-Mikulka","13,6 °C","-1,2 °C","36%","6,3 °C","14,7 °C","-1,3 °C","-7,1 °C","10/10/2021 14:00:00"
"Praha-Karlov","13,0 °C","-1,0 °C","38%"," "," "," "," ","10/10/2021 14:00:00"
"Holešov","9,7 °C","0,8 °C","54%","6,7 °C","12,3 °C","-1,6 °C","-3,8 °C","10/10/2021 14:00:00"
"Lysá hora","4,9 °C","-1,6 °C","63%","1,1 °C","5,6 °C","-1,2 °C","-4,1 °C","10/10/2021 14:00:00"
"Prostějov","10,8 °C","0,8 °C","50%","7,2 °C","13,3 °C","-1,7 °C","-6,1 °C","10/10/2021 15:00:00"
"Pardubice","13,1 °C","-2,4 °C","34%","5,9 °C","14,8 °C","-1,7 °C","-4,5 °C","10/10/2021 15:00:00"
"Holešov","9,7 °C","0,8 °C","54%","6,7 °C","12,3 °C","-1,6 °C","-3,8 °C","10/10/2021 15:00:00"
"Ústí nad Labem","13,2 °C","-1,4 °C","36%","7,8 °C","15,3 °C","2,0 °C","-3,9 °C","10/10/2021 15:00:00"
"Polom","8,0 °C","-1,0 °C","53%","4,6 °C","7,7 °C","2,1 °C","-2,8 °C","10/10/2021 15:00:00"
"Karlovy Vary","11,4 °C","-2,2 °C","39%","4,0 °C","11,0 °C","-3,3 °C","-7,6 °C","10/10/2021 15:00:00"
"Cheb","12,2 °C","0,9 °C","46%","6,3 °C","13,7 °C","-2,0 °C","-7,2 °C","10/10/2021 15:00:00"
"Churáňov","6,3 °C","0,4 °C","66%","2,4 °C","6,9 °C","-2,5 °C","-9,2 °C","10/10/2021 15:00:00"
"Kocelovice","10,6 °C","-1,1 °C","44%","5,8 °C","11,4 °C","-1,1 °C","-5,0 °C","10/10/2021 15:00:00"
"Svratouch","9,5 °C","-1,3 °C","47%","4,9 °C","10,5 °C","0,2 °C","-2,2 °C","10/10/2021 15:00:00"
"Šerák","2,2 °C","-1,6 °C","76%","-0,7 °C","2,5 °C","-1,9 °C","-2,2 °C","10/10/2021 15:00:00"
"Červená u Libavé","6,1 °C","-0,6 °C","62%","3,2 °C","7,7 °C","-0,9 °C","-2,7 °C","10/10/2021 15:00:00"
"Tušimice","13,5 °C","-1,7 °C","35%","5,8 °C","14,7 °C","-1,0 °C","-3,6 °C","10/10/2021 15:00:00"
"Praha-Karlov","13,0 °C","-1,0 °C","38%"," "," "," "," ","10/10/2021 15:00:00"
"Kuchařovice","11,2 °C","0,6 °C","48%","7,0 °C","12,3 °C","-0,2 °C","-3,0 °C","10/10/2021 15:00:00"
"Kostelní Myslová","10,5 °C","0,2 °C","49%","6,1 °C","12,1 °C","-0,4 °C","-4,1 °C","10/10/2021 15:00:00"
"Doksany","13,6 °C","-2,4 °C","33%","5,8 °C","16,3 °C","-2,8 °C","-8,6 °C","10/10/2021 15:00:00"
"Maruška","6,0 °C","1,8 °C","75%","3,9 °C","8,6 °C","-0,8 °C","-1,4 °C","10/10/2021 15:00:00"
"Praha-Kbely","11,7 °C","-0,6 °C","43%","6,6 °C","13,3 °C","-0,8 °C","-8,4 °C","10/10/2021 15:00:00"
"Milešovka","8,8 °C","-2,8 °C","44%","4,3 °C","11,4 °C","0,3 °C","-4,8 °C","10/10/2021 15:00:00"
"Kopisty"," "," "," ","7,0 °C","16,1 °C","-2,2 °C","-6,7 °C","10/10/2021 15:00:00"
"Praha-Libuš","11,6 °C","-0,9 °C","42%","7,0 °C","13,2 °C","-1,3 °C","-6,6 °C","10/10/2021 15:00:00"
"Praha-Ruzyně","11,5 °C","-0,6 °C","43%","6,6 °C","12,6 °C","-1,1 °C","-4,0 °C","10/10/2021 15:00:00"
"Dukovany","11,3 °C","0,4 °C","47%","7,0 °C","12,3 °C","-0,1 °C","-2,6 °C","10/10/2021 15:00:00"
"Čáslav","12,8 °C","1,5 °C","46%","6,4 °C","13,7 °C","-1,5 °C","-6,0 °C","10/10/2021 15:00:00"
"Náměšť nad Oslavou","10,8 °C","1,2 °C","51%","6,2 °C","11,4 °C","1,2 °C","-3,3 °C","10/10/2021 15:00:00"
"Ústí nad Orlicí","13,2 °C","0,0 °C","41%","6,0 °C","13,8 °C","-2,4 °C","-5,6 °C","10/10/2021 15:00:00"
